,accuracy,precision,recall,f1,roc_auc,n_neighbors,p,weights
556,0.9341062801932368,0.9799404761904762,0.8375,0.9020388394512422,0.9836723051289482,39,6,uniform
512,0.9341062801932368,0.9799404761904762,0.8375,0.9020388394512422,0.9847127644161112,36,5,uniform
557,0.9341062801932368,0.9799404761904762,0.8375,0.9020388394512422,0.9853538829324832,39,6,distance
498,0.9341062801932368,0.9799404761904762,0.8375,0.9020388394512422,0.985644559547957,35,5,uniform
458,0.9341062801932368,0.98,0.8375,0.902038839451242,0.9854806577803534,32,6,uniform
571,0.9341062801932368,0.9803571428571428,0.8375,0.9017920163818384,0.9857740509997104,40,6,distance
517,0.9341062801932368,0.9804166666666668,0.8375,0.9015253721065736,0.9838851057664446,36,7,distance
430,0.9341545893719808,0.9799404761904762,0.8378676470588236,0.9018372265480163,0.985983229498696,30,6,uniform
486,0.9341545893719808,0.9870833333333332,0.8316176470588236,0.9013714312198738,0.9844139379889888,34,6,uniform
484,0.9341545893719808,0.9870833333333332,0.8316176470588236,0.9013714312198738,0.9864912344248044,34,5,uniform
543,0.936280193236715,0.9803571428571428,0.8433823529411765,0.9052194357366772,0.9853538829324832,38,6,distance
554,0.936280193236715,0.9803571428571428,0.8433823529411765,0.905447930360333,0.9848313894523328,39,5,uniform
180,0.936280193236715,0.9803571428571428,0.8433823529411765,0.9063047325310952,0.985278723558389,12,7,uniform
474,0.936280193236715,0.9804166666666668,0.8433823529411765,0.905181286085068,0.9833771008403362,33,7,uniform
